月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,3349,176,https://xl.16888.com/style-202111-202111-1.html,3.44%,8,https://xl.16888.com/f/57329/history-202111-202111-1.html,35,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,4150,141,https://xl.16888.com/style-202110-202110-1.html,4.67%,8,https://xl.16888.com/f/57329/history-202110-202110-1.html,30,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,4129,131,https://xl.16888.com/style-202109-202109-1.html,5.22%,7,https://xl.16888.com/f/57329/history-202109-202109-1.html,29,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,3513,128,https://xl.16888.com/style-202108-202108-1.html,5.59%,6,https://xl.16888.com/f/57329/history-202108-202108-1.html,27,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,2939,--,https://xl.16888.com/style-202107-202107-1.html,0.00%,6,https://xl.16888.com/f/57329/history-202107-202107-1.html,116,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,3972,114,https://xl.16888.com/style-202106-202106-1.html,7.98%,5,https://xl.16888.com/f/57329/history-202106-202106-1.html,25,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,3195,145,https://xl.16888.com/style-202105-202105-1.html,7.07%,5,https://xl.16888.com/f/57329/history-202105-202105-1.html,30,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,2973,149,https://xl.16888.com/style-202104-202104-1.html,6.67%,5,https://xl.16888.com/f/57329/history-202104-202104-1.html,30,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,1011,258,https://xl.16888.com/style-202103-202103-1.html,2.72%,10,https://xl.16888.com/f/57329/history-202103-202103-1.html,42,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,479,266,https://xl.16888.com/style-202102-202102-1.html,2.45%,9,https://xl.16888.com/f/57329/history-202102-202102-1.html,48,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,1055,265,https://xl.16888.com/style-202101-202101-1.html,2.51%,8,https://xl.16888.com/f/57329/history-202101-202101-1.html,45,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,2296,231,https://xl.16888.com/style-202012-202012-1.html,4.17%,7,https://xl.16888.com/f/57329/history-202012-202012-1.html,46,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,2670,193,https://xl.16888.com/style-202011-202011-1.html,5.06%,6,https://xl.16888.com/f/57329/history-202011-202011-1.html,41,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,2598,198,https://xl.16888.com/style-202010-202010-1.html,5.58%,7,https://xl.16888.com/f/57329/history-202010-202010-1.html,42,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,2113,206,https://xl.16888.com/style-202009-202009-1.html,5.17%,7,https://xl.16888.com/f/57329/history-202009-202009-1.html,45,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,1557,223,https://xl.16888.com/style-202008-202008-1.html,5.19%,9,https://xl.16888.com/f/57329/history-202008-202008-1.html,44,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,1534,214,https://xl.16888.com/style-202007-202007-1.html,5.50%,8,https://xl.16888.com/f/57329/history-202007-202007-1.html,42,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,1517,222,https://xl.16888.com/style-202006-202006-1.html,4.78%,6,https://xl.16888.com/f/57329/history-202006-202006-1.html,45,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,1461,232,https://xl.16888.com/style-202005-202005-1.html,5.12%,7,https://xl.16888.com/f/57329/history-202005-202005-1.html,46,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,1322,220,https://xl.16888.com/style-202004-202004-1.html,4.25%,7,https://xl.16888.com/f/57329/history-202004-202004-1.html,47,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,1215,190,https://xl.16888.com/style-202003-202003-1.html,4.22%,8,https://xl.16888.com/f/57329/history-202003-202003-1.html,45,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,305,165,https://xl.16888.com/style-202002-202002-1.html,5.87%,5,https://xl.16888.com/f/57329/history-202002-202002-1.html,41,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,1028,245,https://xl.16888.com/style-202001-202001-1.html,4.00%,8,https://xl.16888.com/f/57329/history-202001-202001-1.html,55,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,1566,261,https://xl.16888.com/style-201912-201912-1.html,4.00%,8,https://xl.16888.com/f/57329/history-201912-201912-1.html,62,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,1524,248,https://xl.16888.com/style-201911-201911-1.html,3.79%,8,https://xl.16888.com/f/57329/history-201911-201911-1.html,59,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,2151,212,https://xl.16888.com/style-201910-201910-1.html,5.15%,7,https://xl.16888.com/f/57329/history-201910-201910-1.html,52,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,2078,213,https://xl.16888.com/style-201909-201909-1.html,5.21%,9,https://xl.16888.com/f/57329/history-201909-201909-1.html,53,https://xl.16888.com/level-3-201909-201909-1.html
