月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,8809,76,https://xl.16888.com/style-202111-202111-1.html,9.06%,4,https://xl.16888.com/f/57329/history-202111-202111-1.html,3,https://xl.16888.com/level-2-202111-202111-1.html
2021-10,6018,100,https://xl.16888.com/style-202110-202110-1.html,6.77%,7,https://xl.16888.com/f/57329/history-202110-202110-1.html,3,https://xl.16888.com/level-2-202110-202110-1.html
2021-09,3000,157,https://xl.16888.com/style-202109-202109-1.html,3.80%,8,https://xl.16888.com/f/57329/history-202109-202109-1.html,6,https://xl.16888.com/level-2-202109-202109-1.html
2021-08,1755,196,https://xl.16888.com/style-202108-202108-1.html,2.79%,7,https://xl.16888.com/f/57329/history-202108-202108-1.html,10,https://xl.16888.com/level-2-202108-202108-1.html
