月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,2755,197,https://xl.16888.com/style-202111-202111-1.html,2.17%,10,https://xl.16888.com/f/57412/history-202111-202111-1.html,40,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,1335,263,https://xl.16888.com/style-202110-202110-1.html,1.19%,10,https://xl.16888.com/f/57412/history-202110-202110-1.html,48,https://xl.16888.com/level-3-202110-202110-1.html
